parameter_index,simulation_index,split
2957,4,train
866,1,train
604,1,train
3911,2,train
3515,2,train
521,3,train
958,4,train
3253,2,train
655,3,train
3432,4,train
1475,1,train
1213,1,train
1254,2,train
3990,2,train
4031,3,train
951,1,train
555,1,train
3728,2,train
3769,3,train
338,3,train
775,4,train
3466,2,train
1333,2,train
1030,1,train
1250,4,train
3545,2,train
3982,3,train
551,3,train
988,4,train
1546,2,train
1680,2,train
1284,2,train
585,1,train
3758,2,train
1201,4,train
805,4,train
1893,2,train
1497,2,train
798,1,train
1235,2,train
1414,4,train
1018,4,train
3750,3,train
1152,4,train
1972,2,train
1710,2,train
1314,2,train
1231,4,train
3963,3,train
969,4,train
1661,2,train
1265,2,train
4042,3,train
1182,4,train
2260,1,train
4076,1,train
1478,2,train
1915,3,train
2390,3,train
1691,2,train
1295,2,train
1732,3,train
2128,3,train
2686,1,train
2424,1,train
1945,3,train
2503,1,train
2637,1,train
2420,3,train
1721,2,train
1762,3,train
2158,3,train
2716,1,train
2454,1,train
2192,1,train
2412,4,train
1579,3,train
193,1,train
2929,1,train
2667,1,train
2271,1,train
110,3,train
2405,1,train
2491,4,train
2887,4,train
2188,3,train
1792,3,train
2229,4,train
1967,4,train
406,1,train
10,1,train
2787,2,train
189,3,train
2484,1,train
2088,1,train
3317,2,train
2222,1,train
2442,4,train
2180,4,train
223,1,train
3396,2,train
2697,1,train
2738,2,train
181,4,train
2917,4,train
2655,4,train
2259,4,train
40,1,train
174,1,train
2951,2,train
3388,3,train
394,4,train
2689,2,train
3085,2,train
2606,4,train
649,1,train
253,1,train
690,2,train
3467,3,train
473,4,train
2768,2,train
3164,2,train
170,3,train
607,4,train
2902,2,train
3205,3,train
3601,3,train
70,1,train
204,1,train
2981,2,train
3377,2,train
820,4,train
3814,3,train
3156,3,train
679,1,train
720,2,train
3893,3,train
417,1,train
458,2,train
3631,3,train
2932,2,train
1329,2,train
3665,1,train
3448,3,train
3885,4,train
368,1,train
3145,2,train
3186,3,train
3582,3,train
588,4,train
3744,1,train
1146,2,train
750,2,train
1187,3,train
3964,4,train
667,4,train
3399,3,train
3957,1,train
4091,1,train
1138,3,train
3874,3,train
3915,4,train
3612,3,train
3653,4,train
618,4,train
3512,1,train
1351,3,train
3646,1,train
3429,3,train
3866,4,train
1647,1,train
1127,2,train
1564,3,train
865,2,train
1726,1,train
1860,1,train
1464,1,train
1381,3,train
1119,3,train
3896,4,train
4030,4,train
2073,1,train
1677,1,train
1856,3,train
1415,1,train
2031,4,train
1198,3,train
936,3,train
2152,1,train
1890,1,train
1494,1,train
1628,1,train
2110,4,train
1411,3,train
1545,3,train
3926,4,train
2144,2,train
1841,1,train
1445,1,train
1927,4,train
1624,3,train
1665,4,train
2753,2,train
1658,1,train
1878,4,train
1575,3,train
1616,4,train
2012,4,train
2133,1,train
2308,2,train
1912,2,train
1829,4,train
6,1,train
2125,2,train
2304,4,train
2042,4,train
1646,4,train
85,1,train
126,2,train
3037,3,train
2641,3,train
43,4,train
1942,2,train
339,2,train
77,2,train
2854,3,train
3250,3,train
2155,2,train
2592,3,train
2289,2,train
3284,1,train
290,2,train
73,4,train
2805,3,train
3201,3,train
3363,1,train
765,2,train
369,2,train
3497,1,train
503,2,train
3321,4,train
286,4,train
2581,2,train
2622,3,train
3059,4,train
24,4,train
3180,1,train
582,2,train
623,3,train
320,2,train
3097,3,train
3534,4,train
2835,3,train
2969,3,train
2573,3,train
3789,1,train
836,3,train
3527,1,train
533,2,train
137,2,train
574,3,train
970,3,train
54,4,train
2786,3,train
1266,1,train
1049,3,train
653,3,train
2948,1,train
1183,3,train
3478,1,train
350,2,train
787,3,train
3344,1,train
88,2,train
3302,4,train
3960,4,train
2999,3,train
866,3,train
3161,1,train
3994,2,train
563,2,train
604,3,train
1041,4,train
3336,2,train
342,3,train
3515,4,train
3253,4,train
1296,1,train
900,1,train
4073,2,train
3990,4,train
1254,4,train
3549,2,train
951,3,train
555,3,train
3728,4,train
3466,4,train
1333,4,train
3628,2,train
4024,2,train
1030,3,train
3366,2,train
3545,4,train
1326,1,train
930,1,train
1460,1,train
1546,4,train
3841,2,train
1064,1,train
1680,4,train
1284,4,train
3579,2,train
3975,2,train
585,3,train
3758,4,train
1539,1,train
1580,2,train
1497,4,train
1101,4,train
3792,2,train
798,3,train
1235,4,train
2189,2,train
1793,2,train
1490,1,train
1094,1,train
1228,1,train
1314,4,train
1710,4,train
4005,2,train
1610,2,train
1307,1,train
911,1,train
1348,2,train
1744,2,train
1265,4,train
869,4,train
2219,2,train
1823,2,train
2260,3,train
1957,2,train
1561,2,train
4076,3,train
1478,4,train
1774,2,train
1378,2,train
1295,4,train
2507,1,train
2686,3,train
1987,2,train
2424,3,train
2720,1,train
2503,3,train
2107,3,train
2637,3,train
2799,1,train
2716,3,train
2275,1,train
2757,4,train
2454,3,train
2192,3,train
1796,3,train
3012,1,train
193,3,train
2488,1,train
2667,3,train
2271,3,train
2405,3,train
3225,1,train
3400,2,train
2567,1,train
3004,2,train
406,3,train
10,3,train
2305,1,train
2787,4,train
2701,1,train
2484,3,train
2088,3,train
2525,4,train
2222,3,train
89,3,train
2780,1,train
223,3,train
2518,1,train
3396,4,train
2738,4,train
519,1,train
3296,2,train
257,1,train
2993,1,train
3034,2,train
3430,2,train
40,3,train
3168,2,train
2772,2,train
174,3,train
2951,4,train
2689,4,train
732,1,train
3247,2,train
253,3,train
690,4,train
2548,1,train
2985,2,train
3164,4,train
2768,4,train
2902,4,train
549,1,train
287,1,train
3064,2,train
3460,2,train
70,3,train
507,4,train
2761,1,train
204,3,train
2981,4,train
896,1,train
500,1,train
238,1,train
720,4,train
3411,2,train
417,3,train
458,4,train
2932,4,train
975,1,train
1016,2,train
713,1,train
1150,2,train
451,1,train
3665,3,train
3961,1,train
926,1,train
1363,2,train
3744,3,train
664,1,train
750,4,train
1146,4,train
3441,2,train
4040,1,train
1046,2,train
784,2,train
3957,3,train
4091,3,train
1655,2,train
1259,2,train
997,2,train
1434,3,train
3729,1,train
1131,2,train
735,2,train
3512,3,train
3949,4,train
3646,3,train
1210,2,train
814,2,train
1647,3,train
1344,2,train
3942,1,train
865,4,train
1943,1,train
1726,3,train
4021,1,train
1860,3,train
1027,2,train
1464,3,train
3759,1,train
1161,2,train
1202,3,train
2156,1,train
2073,3,train
1677,3,train
1415,3,train
2152,3,train
1711,1,train
1890,3,train
1494,3,train
1931,4,train
1628,3,train
1232,3,train
4009,4,train
2448,1,train
2144,4,train
1841,3,train
1445,3,train
2399,1,train
2440,2,train
1741,1,train
2223,4,train
1961,4,train
1658,3,train
2653,2,train
2391,2,train
2308,4,train
1912,4,train
2866,2,train
2470,2,train
2167,1,train
1771,1,train
1991,4,train
2125,4,train
168,1,train
302,1,train
3079,2,train
126,4,train
2380,1,train
2421,2,train
2159,2,train
1942,4,train
381,1,train
339,4,train
2634,2,train
2238,2,train
77,4,train
2372,2,train
2155,4,train
2289,4,train
198,1,train
332,1,train
373,2,train
2847,2,train
2888,3,train
3284,3,train
290,4,train
452,2,train
3580,1,train
149,1,train
3363,3,train
369,4,train
2664,2,train
3497,3,train
3659,1,train
665,2,train
3793,1,train
799,2,train
3180,3,train
582,4,train
141,2,train
2877,2,train
2918,3,train
320,4,train
2656,3,train
3872,1,train
3476,1,train
878,2,train
4006,1,train
616,2,train
220,2,train
3348,1,train
3527,3,train
137,4,train
4085,1,train
1091,2,train
829,2,train
1266,3,train
3561,1,train
130,1,train
171,2,train
567,2,train
2948,3,train
350,4,train
3344,3,train
3385,4,train
88,4,train
4036,1,train
646,2,train
3378,1,train
3774,1,train
780,2,train
3994,4,train
3161,3,train
3336,4,train
1379,1,train
3894,2,train
859,2,train
900,3,train
1296,3,train
3195,1,train
597,2,train
638,3,train
3415,4,train
3811,4,train
4073,4,train
3549,4,train
1592,1,train
3804,1,train
3845,2,train
4024,4,train
3628,4,train
3366,4,train
1805,1,train
1409,1,train
1543,1,train
1326,3,train
930,3,train
1367,4,train
627,2,train
668,3,train
1064,3,train
3841,4,train
3975,4,train
3579,4,train
1360,1,train
1539,3,train
1580,4,train
3792,4,train
1835,1,train
1876,2,train
1793,4,train
915,1,train
1094,3,train
698,3,train
4005,4,train
2089,2,train
1786,1,train
1390,1,train
1827,2,train
1524,1,train
1128,1,train
1610,4,train
1307,3,train
911,3,train
1348,4,train
1744,4,train
2302,2,train
1906,2,train
1603,1,train
1207,1,train
2040,2,train
1823,4,train
1957,4,train
1561,4,train
2515,2,train
2119,2,train
2253,2,train
2294,3,train
1774,4,train
1378,4,train
2332,2,train
2070,2,train
2507,3,train
2803,1,train
2720,3,train
1887,2,train
2324,3,train
2021,2,train
1625,2,train
22,2,train
2799,3,train
2100,2,train
1838,2,train
2275,3,train
101,2,train
235,2,train
3012,3,train
2313,2,train
2051,2,train
2092,3,train
2488,3,train
314,2,train
3046,1,train
2784,1,train
3400,4,train
2567,3,train
3004,4,train
2264,2,train
2305,3,train
2701,3,train
3259,1,train
306,3,train
3,2,train
2780,3,train
2518,3,train
2122,3,train
3076,1,train
3513,2,train
519,3,train
3296,4,train
257,3,train
2552,1,train
2993,3,train
3034,4,train
3168,4,train
2772,4,train
3430,4,train
3289,1,train
3726,2,train
295,2,train
732,3,train
3027,1,train
74,3,train
2765,1,train
2851,4,train
3247,4,train
2548,3,train
2985,4,train
1028,1,train
766,1,train
3939,2,train
549,3,train
2844,1,train
3240,1,train
3677,2,train
287,3,train
2978,1,train
3064,4,train
3460,4,train
2761,3,train
1241,1,train
845,1,train
979,1,train
803,4,train
3494,2,train
500,3,train
104,3,train
238,3,train
3411,4,train
796,1,train
975,3,train
534,1,train
1016,4,train
3311,2,train
713,3,train
1150,4,train
3445,2,train
3707,2,train
451,3,train
3748,3,train
1009,1,train
1446,2,train
833,4,train
3961,3,train
1363,4,train
3262,2,train
3441,4,train
1659,2,train
4040,3,train
564,1,train
1046,4,train
3778,3,train
784,4,train
522,4,train
1738,2,train
1342,2,train
1476,2,train
777,1,train
1259,4,train
997,4,train
3688,2,train
3729,3,train
1131,4,train
735,4,train
1951,2,train
1689,2,train
1293,2,train
4025,1,train
1427,2,train
1210,4,train
814,4,train
3942,3,train
1943,3,train
1640,2,train
1244,2,train
4021,3,train
1027,4,train
3759,3,train
1161,4,train
1719,2,train
1323,2,train
2156,3,train
4055,1,train
1457,2,train
1061,2,train
2452,1,train
1670,2,train
1274,2,train
1711,3,train
2665,1,train
2269,1,train
2448,3,train
2007,1,train
1790,3,train
1487,2,train
2878,1,train
2616,1,train
2399,3,train
2440,4,train
1700,2,train
1741,3,train
2695,1,train
2299,1,train
2653,4,train
2391,4,train
2512,1,train
2646,1,train
2250,1,train
2687,2,train
2866,4,train
2470,4,train
2167,3,train
1771,3,train
2766,2,train
168,3,train
2900,2,train
2201,1,train
2287,4,train
2421,4,train
2159,4,train
202,1,train
381,3,train
2676,1,train
2280,1,train
2717,2,train
2455,2,train
2634,4,train
2238,4,train
2372,4,train
281,1,train
415,1,train
198,3,train
2493,1,train
2930,2,train
3326,2,train
373,4,train
2668,2,train
2847,4,train
232,1,train
669,2,train
3405,2,train
452,4,train
3580,3,train
149,3,train
2485,2,train
2664,4,train
882,2,train
3659,3,train
183,1,train
269,4,train
665,4,train
799,4,train
3793,3,train
2698,2,train
141,4,train
2877,4,train
4089,1,train
3693,1,train
658,1,train
699,2,train
1095,2,train
3872,3,train
396,1,train
437,2,train
878,4,train
3173,2,train
616,4,train
220,4,train
3348,3,train
3476,3,train
3906,1,train
912,2,train
4085,3,train
213,1,train
650,2,train
829,4,train
3124,2,train
3561,3,train
567,4,train
171,4,train
3723,1,train
729,2,train
3461,1,train
863,2,train
467,2,train
3244,3,train
646,4,train
3378,3,train
3936,1,train
942,2,train
1379,3,train
4070,1,train
3894,4,train
3195,3,train
3632,4,train
597,4,train
1592,3,train
893,2,train
497,2,train
3845,4,train
1626,1,train
1805,3,train
1409,3,train
3704,1,train
1543,3,train
3838,1,train
844,2,train
3662,4,train
627,4,train
1839,1,train
1443,1,train
1226,3,train
3917,1,train
923,2,train
1360,3,train
1835,3,train
1876,4,train
915,3,train
2131,1,train
1869,1,train
1473,1,train
2089,4,train
1390,3,train
1827,4,train
1524,3,train
1128,3,train
2344,1,train
1820,1,train
1424,1,train
1906,4,train
2302,4,train
1603,3,train
1207,3,train
2040,4,train
2202,2,train
1899,1,train
1503,1,train
1637,1,train
2119,4,train
2253,4,train
2112,1,train
2153,2,train
2590,3,train
1850,1,train
2332,4,train
2070,4,train
1412,4,train
2803,3,train
2104,2,train
1887,4,train
2021,4,train
1625,4,train
64,1,train
22,4,train
1921,2,train
2100,4,train
1838,4,train
101,4,train
235,4,train
2134,2,train
2313,4,train
2051,4,train
3129,1,train
2867,1,train
314,4,train
3046,3,train
2347,2,train
2784,3,train
3342,1,train
348,2,train
3080,1,train
482,2,train
86,2,train
3259,3,train
3,4,train
3555,1,train
2897,1,train
299,2,train
3076,3,train
3513,4,train
2552,3,train
3768,1,train
3372,1,train
3506,1,train
512,2,train
3726,4,train
2848,1,train
3289,3,train
295,4,train
3027,3,train
3068,4,train
2765,3,train
849,1,train
3585,1,train
1028,3,train
632,3,train
2927,1,train
766,3,train
3061,1,train
3939,4,train
67,2,train
2844,3,train
3677,4,train
2978,3,train
3839,2,train
1241,3,train
845,3,train
3140,1,train
3577,2,train
979,3,train
3274,1,train
3494,4,train
3098,4,train
2836,4,train
1275,1,train
3353,1,train
3790,2,train
796,3,train
534,3,train
3311,4,train
3707,4,train
3445,4,train
1488,1,train
4003,2,train
3566,1,train
3607,2,train
1009,3,train
1446,4,train
4044,3,train
3128,4,train
3262,4,train
1567,1,train
1305,1,train
909,1,train
1043,1,train
3820,2,train
1659,4,train
3954,2,train
430,3,train
3558,2,train
564,3,train
1122,1,train
1559,2,train
1256,1,train
1342,4,train
1738,4,train
4033,2,train
1476,4,train
3771,2,train
4074,3,train
777,3,train
1638,2,train
1772,2,train
1073,1,train
1689,4,train
1293,4,train
4025,3,train
1427,4,train
1723,2,train
890,1,train
1327,2,train
1110,4,train
1244,4,train
2198,2,train
1802,2,train
1936,2,train
1103,1,train
1719,4,train
1323,4,train
4055,3,train
1457,4,train
1061,4,train
2015,2,train
2056,3,train
2452,3,train
1316,1,train
1357,2,train
1491,2,train
1274,4,train
2665,3,train
2269,3,train
1966,2,train
1570,2,train
2007,3,train
1487,4,train
2565,1,train
2699,1,train
1387,2,train
2778,1,train
2912,1,train
2516,1,train
2695,3,train
2299,3,train
1775,3,train
2595,1,train
2512,3,train
2250,3,train
2687,4,train
2546,1,train
2983,2,train
2680,1,train
2284,1,train
2766,4,train
2900,4,train
2201,3,train
285,1,train
68,3,train
2363,1,train
2759,1,train
202,3,train
2893,1,train
3196,2,train
2280,3,train
2717,4,train
2455,4,train
498,1,train
281,3,train
2576,1,train
3013,2,train
415,3,train
2710,1,train
3409,2,train
2493,3,train
2534,4,train
2930,4,train
2668,4,train
577,1,train
711,1,train
3488,2,train
3226,2,train
232,3,train
669,4,train
2485,4,train
662,1,train
3043,2,train
3480,3,train
882,4,train
2740,1,train
2781,2,train
183,3,train
2698,4,train
741,1,train
479,1,train
3256,2,train
3693,3,train
1095,4,train
699,4,train
4089,3,train
396,3,train
437,4,train
3173,4,train
558,1,train
995,2,train
3772,3,train
692,1,train
296,1,train
3510,3,train
3469,2,train
912,4,train
34,1,train
2811,2,train
3906,3,train
213,3,train
650,4,train
1208,2,train
3940,1,train
509,1,train
946,2,train
3682,2,train
643,1,train
729,4,train
3420,2,train
3461,3,train
863,4,train
467,4,train
3723,3,train
1421,2,train
722,1,train
326,1,train
1159,2,train
3936,3,train
942,4,train
3237,2,train
4070,3,train
284,4,train
3970,1,train
539,1,train
714,2,train
3450,2,train
3928,4,train
893,4,train
497,4,train
1451,2,train
1189,2,train
793,2,train
1626,3,train
3921,1,train
3704,3,train
3838,3,train
844,4,train
1922,1,train
4000,1,train
1839,3,train
1006,2,train
1443,3,train
3738,1,train
3917,3,train
3958,4,train
923,4,train
2135,1,train
1522,3,train
3817,1,train
2214,1,train
2131,3,train
1690,1,train
1432,2,train
1473,3,train
1869,3,train
1910,4,train
1211,3,train
3988,4,train
1903,1,train
1820,3,train
1424,3,train
2640,1,train
2378,1,train
2419,2,train
2116,1,train
2202,4,train
1899,3,train
1503,3,train
1940,4,train
1637,3,train
2195,1,train
2153,4,train
1850,3,train
2711,2,train
2408,1,train
2449,2,train
2845,2,train
2146,1,train
1884,1,train
2104,4,train
147,1,train
3058,2,train
2359,1,train
2400,2,train
2097,1,train
2183,4,train
1921,4,train
98,1,train
2176,1,train
2613,2,train
2134,4,train
311,1,train
3088,2,train
3129,3,train
2826,2,train
2430,2,train
2867,3,train
2347,4,train
431,2,train
128,1,train
169,2,train
3342,3,train
348,4,train
2643,2,train
2247,2,train
3080,3,train
86,4,train
644,2,train
3376,1,train
778,2,train
3555,3,train
2856,2,train
2460,2,train
2897,3,train
299,4,train
2635,3,train
3851,1,train
